num_location,num_type_of_university,length_of_college_in_years,num_specified_type,on_campus,residence_halls,noncampus_property,public_property
0,0,4,0,0,0,0,0
0,0,4,1,0,0,0,0
0,0,4,2,2,2,0,0
0,0,4,3,0,0,0,0
0,0,4,4,0,0,0,0
0,0,4,5,0,0,0,0
0,0,4,6,0,0,0,0
0,0,4,7,1,1,0,0
0,0,4,8,2,1,0,2
0,0,4,9,0,0,0,0
0,0,4,10,0,0,0,0
0,0,4,11,0,0,0,0
0,0,4,12,1,1,0,0
0,0,4,13,3,3,0,0
0,0,4,14,0,0,0,0
0,0,4,15,0,0,0,0
0,0,4,16,0,0,0,0
0,0,4,17,0,0,0,0
0,0,4,18,26,26,0,0
0,0,4,19,74,74,0,0
0,0,4,20,0,0,0,0
1,0,4,0,2,1,0,1
1,0,4,1,0,0,0,0
1,0,4,2,6,2,0,0
1,0,4,3,0,0,0,0
1,0,4,4,0,0,0,0
1,0,4,5,0,0,0,0
1,0,4,6,0,0,0,5
1,0,4,7,16,6,0,0
1,0,4,8,4,0,0,1
1,0,4,9,0,0,0,0
1,0,4,10,0,0,0,0
1,0,4,11,0,0,0,0
1,0,4,12,4,4,0,1
1,0,4,13,1,1,0,1
1,0,4,14,2,0,0,0
1,0,4,15,0,0,0,0
1,0,4,16,0,0,0,0
1,0,4,17,0,0,0,0
1,0,4,18,149,149,0,0
1,0,4,19,849,849,0,0
1,0,4,20,3,3,0,0
0,1,4,0,0,0,0,0
0,1,4,1,0,0,0,0
0,1,4,2,3,0,0,14
0,1,4,3,0,0,0,0
0,1,4,4,0,0,0,0
0,1,4,5,0,0,0,0
0,1,4,6,0,0,0,0
0,1,4,7,0,0,0,0
0,1,4,8,0,0,0,1
0,1,4,9,0,0,0,0
0,1,4,10,0,0,0,0
0,1,4,11,0,0,0,0
0,1,4,12,0,0,0,0
0,1,4,13,1,0,0,1
0,1,4,14,0,0,0,0
0,1,4,15,0,0,0,0
0,1,4,16,0,0,0,0
0,1,4,17,0,0,0,0
0,1,4,18,5,0,0,5
0,1,4,19,0,0,0,0
0,1,4,20,1,0,0,1
4,1,4,0,0,0,0,0
4,1,4,1,0,0,0,0
4,1,4,2,4,0,0,0
4,1,4,3,0,0,0,0
4,1,4,4,0,0,0,0
4,1,4,5,0,0,0,0
4,1,4,6,0,0,0,1
4,1,4,7,0,0,0,0
4,1,4,8,2,1,0,0
4,1,4,9,0,0,0,0
4,1,4,10,0,0,0,0
4,1,4,11,2,1,0,0
4,1,4,12,1,1,0,1
4,1,4,13,8,0,0,0
4,1,4,14,0,0,0,0
4,1,4,15,0,0,0,0
4,1,4,16,0,0,0,0
4,1,4,17,0,0,0,0
4,1,4,18,12,8,0,0
4,1,4,19,30,20,0,0
4,1,4,20,0,0,0,0
4,0,4,0,0,0,0,0
4,0,4,1,0,0,0,0
4,0,4,2,4,0,0,0
4,0,4,3,4,0,0,0
4,0,4,4,0,0,0,0
4,0,4,5,0,0,0,0
4,0,4,6,1,0,0,0
4,0,4,7,7,6,0,0
4,0,4,8,2,1,0,0
4,0,4,9,0,0,0,0
4,0,4,10,0,0,0,0
4,0,4,11,2,1,0,0
4,0,4,12,14,12,0,2
4,0,4,13,2,1,0,0
4,0,4,14,0,0,0,2
4,0,4,15,0,0,0,0
4,0,4,16,0,0,0,0
4,0,4,17,0,0,0,0
4,0,4,18,188,187,0,0
4,0,4,19,127,122,0,3
4,0,4,20,2,1,0,0
3,0,4,0,0,0,0,0
3,0,4,1,0,0,0,0
3,0,4,2,0,0,0,0
3,0,4,3,0,0,0,0
3,0,4,4,0,0,0,0
3,0,4,5,0,0,0,0
3,0,4,6,0,0,0,1
3,0,4,7,0,0,0,0
3,0,4,8,0,0,0,0
3,0,4,9,0,0,0,0
3,0,4,10,0,0,0,0
3,0,4,11,0,0,0,0
3,0,4,12,1,0,0,0
3,0,4,13,0,0,0,0
3,0,4,14,0,0,0,0
3,0,4,15,0,0,0,0
3,0,4,16,0,0,0,0
3,0,4,17,0,0,0,0
3,0,4,18,0,0,0,0
3,0,4,19,0,0,0,0
3,0,4,20,0,0,0,0
4,1,2,0,0,0,0,2
4,1,2,1,0,0,0,0
4,1,2,2,0,0,0,0
4,1,2,3,0,0,0,0
4,1,2,4,0,0,0,0
4,1,2,5,0,0,0,0
4,1,2,6,0,0,0,1
4,1,2,7,0,0,0,0
4,1,2,8,3,0,0,3
4,1,2,9,0,0,0,0
4,1,2,10,0,0,0,0
4,1,2,11,2,0,0,2
4,1,2,12,2,0,0,2
4,1,2,13,3,0,0,3
4,1,2,14,0,0,0,0
4,1,2,15,0,0,0,0
4,1,2,16,0,0,0,0
4,1,2,17,0,0,0,0
4,1,2,18,18,0,0,22
4,1,2,19,1,0,0,1
4,1,2,20,1,0,0,1
0,0,4,0,0,1,0,1
0,0,4,1,0,0,0,0
0,0,4,2,47,34,0,0
0,0,4,3,0,0,0,3
0,0,4,4,0,0,0,0
0,0,4,5,0,0,0,0
0,0,4,6,2,1,0,13
0,0,4,7,11,11,0,0
0,0,4,8,4,2,0,1
0,0,4,9,0,0,0,0
0,0,4,10,0,0,0,0
0,0,4,11,0,7,0,0
0,0,4,12,24,23,0,0
0,0,4,13,25,14,0,0
0,0,4,14,0,1,0,0
0,0,4,15,0,0,0,0
0,0,4,16,0,1,0,0
0,0,4,17,0,0,0,0
0,0,4,18,160,159,0,0
0,0,4,19,181,181,0,0
0,0,4,20,5,4,0,0
0,0,4,0,0,0,0,0
0,0,4,1,0,0,0,1
0,0,4,2,4,1,0,0
0,0,4,3,0,0,0,0
0,0,4,4,0,0,0,0
0,0,4,5,0,0,0,0
0,0,4,6,0,0,0,6
0,0,4,7,5,5,0,0
0,0,4,8,4,4,0,6
0,0,4,9,0,0,0,0
0,0,4,10,0,0,0,0
0,0,4,11,2,2,0,0
0,0,4,12,6,5,0,0
0,0,4,13,11,6,0,1
0,0,4,14,0,0,0,0
0,0,4,15,0,0,0,0
0,0,4,16,0,0,0,0
0,0,4,17,0,0,0,0
0,0,4,18,136,134,0,0
0,0,4,19,873,873,0,0
0,0,4,20,0,0,0,0
2,0,4,0,1,0,0,0
2,0,4,1,0,0,0,0
2,0,4,2,0,0,0,0
2,0,4,3,0,0,0,0
2,0,4,4,0,0,0,0
2,0,4,5,0,0,0,0
2,0,4,6,0,0,0,5
2,0,4,7,0,0,0,0
2,0,4,8,1,1,0,0
2,0,4,9,0,0,0,0
2,0,4,10,0,0,0,0
2,0,4,11,0,0,0,0
2,0,4,12,0,0,0,0
2,0,4,13,1,1,0,0
2,0,4,14,0,0,0,0
2,0,4,15,0,0,0,0
2,0,4,16,0,0,0,0
2,0,4,17,0,0,0,0
2,0,4,18,13,10,0,0
2,0,4,19,46,46,0,0
2,0,4,20,0,0,0,0
0,0,4,0,0,0,0,0
0,0,4,1,0,0,0,0
0,0,4,2,1,1,0,0
0,0,4,3,0,0,0,0
0,0,4,4,0,0,0,0
0,0,4,5,0,0,0,0
0,0,4,6,0,0,0,1
0,0,4,7,1,1,0,0
0,0,4,8,0,0,0,0
0,0,4,9,0,0,0,0
0,0,4,10,0,0,0,0
0,0,4,11,0,0,0,0
0,0,4,12,2,2,0,0
0,0,4,13,0,0,0,0
0,0,4,14,0,0,0,0
0,0,4,15,0,0,0,0
0,0,4,16,0,0,0,0
0,0,4,17,0,0,0,0
0,0,4,18,32,32,0,0
0,0,4,19,102,102,0,0
0,0,4,20,0,0,0,0
0,0,4,0,0,0,0,0
0,0,4,1,0,0,0,0
0,0,4,2,0,0,0,0
0,0,4,3,0,0,0,0
0,0,4,4,0,0,0,0
0,0,4,5,0,0,0,0
0,0,4,6,0,0,0,0
0,0,4,7,0,0,0,0
0,0,4,8,0,0,0,0
0,0,4,9,0,0,0,0
0,0,4,10,0,0,0,0
0,0,4,11,0,0,0,0
0,0,4,12,0,0,0,0
0,0,4,13,0,0,0,0
0,0,4,14,0,0,0,0
0,0,4,15,0,0,0,0
0,0,4,16,0,0,0,0
0,0,4,17,0,0,0,0
0,0,4,18,0,0,4,0
0,0,4,19,1,0,5,0
0,0,4,20,0,0,0,0
2,1,4,0,0,0,0,1
2,1,4,1,0,0,0,0
2,1,4,2,1,0,0,0
2,1,4,3,0,0,0,0
2,1,4,4,0,0,0,0
2,1,4,5,0,0,0,0
2,1,4,6,0,0,0,0
2,1,4,7,0,0,0,0
2,1,4,8,0,0,0,0
2,1,4,9,0,0,0,0
2,1,4,10,0,0,0,0
2,1,4,11,0,0,0,0
2,1,4,12,0,0,0,0
2,1,4,13,0,0,0,0
2,1,4,14,0,0,0,0
2,1,4,15,0,0,0,0
2,1,4,16,0,0,0,0
2,1,4,17,0,0,0,0
2,1,4,18,2,0,0,0
2,1,4,19,0,0,0,0
2,1,4,20,0,0,0,0
2,0,4,0,0,0,0,1
2,0,4,1,0,0,0,0
2,0,4,2,0,0,0,0
2,0,4,3,0,0,0,0
2,0,4,4,0,0,0,0
2,0,4,5,0,0,0,0
2,0,4,6,0,0,0,1
2,0,4,7,0,0,0,0
2,0,4,8,0,0,0,2
2,0,4,9,0,0,0,0
2,0,4,10,0,0,0,0
2,0,4,11,0,0,0,0
2,0,4,12,0,0,0,0
2,0,4,13,0,0,0,0
2,0,4,14,0,0,0,0
2,0,4,15,0,0,0,0
2,0,4,16,0,0,0,0
2,0,4,17,0,0,0,0
2,0,4,18,36,36,0,0
2,0,4,19,32,30,0,0
2,0,4,20,0,0,0,0
2,0,4,0,0,0,0,0
2,0,4,1,0,0,0,0
2,0,4,2,0,0,0,0
2,0,4,3,0,0,0,0
2,0,4,4,0,0,0,0
2,0,4,5,0,0,0,0
2,0,4,6,1,1,0,0
2,0,4,7,1,1,0,0
2,0,4,8,0,0,0,0
2,0,4,9,0,0,0,0
2,0,4,10,0,0,0,0
2,0,4,11,0,0,0,0
2,0,4,12,1,1,0,0
2,0,4,13,0,0,0,0
2,0,4,14,1,0,0,0
2,0,4,15,0,0,0,0
2,0,4,16,0,0,0,0
2,0,4,17,0,0,0,0
2,0,4,18,37,37,0,0
2,0,4,19,58,58,0,0
2,0,4,20,0,0,0,0
2,1,2,0,0,0,0,0
2,1,2,1,0,0,0,0
2,1,2,2,0,0,0,0
2,1,2,3,0,0,0,0
2,1,2,4,0,0,0,0
2,1,2,5,0,0,0,0
2,1,2,6,0,0,0,0
2,1,2,7,1,0,0,0
2,1,2,8,2,0,0,0
2,1,2,9,0,0,0,0
2,1,2,10,0,0,0,0
2,1,2,11,0,0,0,0
2,1,2,12,4,0,0,0
2,1,2,13,0,0,0,0
2,1,2,14,0,0,0,0
2,1,2,15,0,0,0,0
2,1,2,16,0,0,0,0
2,1,2,17,0,0,0,0
2,1,2,18,16,0,0,0
2,1,2,19,0,0,0,0
2,1,2,20,0,0,0,0
1,1,4,0,0,0,0,5
1,1,4,1,0,0,0,1
1,1,4,2,0,0,0,0
1,1,4,3,0,0,0,0
1,1,4,4,0,0,0,0
1,1,4,5,0,0,0,0
1,1,4,6,0,0,0,4
1,1,4,7,0,0,0,0
1,1,4,8,0,0,0,0
1,1,4,9,0,0,0,0
1,1,4,10,0,0,0,0
1,1,4,11,1,0,0,0
1,1,4,12,0,0,0,0
1,1,4,13,0,0,0,0
1,1,4,14,0,0,0,1
1,1,4,15,0,0,0,0
1,1,4,16,0,0,0,0
1,1,4,17,0,0,0,0
1,1,4,18,0,0,0,0
1,1,4,19,0,0,0,0
1,1,4,20,0,0,0,1
1,1,4,0,0,0,0,0
1,1,4,1,0,0,0,0
1,1,4,2,1,0,0,0
1,1,4,3,0,0,0,3
1,1,4,4,0,0,0,0
1,1,4,5,0,0,0,0
1,1,4,6,0,0,0,3
1,1,4,7,0,0,0,0
1,1,4,8,0,0,0,0
1,1,4,9,0,0,0,0
1,1,4,10,0,0,0,0
1,1,4,11,0,0,0,2
1,1,4,12,1,0,0,1
1,1,4,13,0,0,0,0
1,1,4,14,2,0,0,4
1,1,4,15,0,0,0,0
1,1,4,16,1,0,0,1
1,1,4,17,0,0,0,0
1,1,4,18,12,0,0,0
1,1,4,19,0,0,0,0
1,1,4,20,3,0,0,0
0,0,4,0,0,0,0,0
0,0,4,1,0,0,0,0
0,0,4,2,4,2,0,0
0,0,4,3,0,0,0,0
0,0,4,4,0,0,0,0
0,0,4,5,0,0,0,0
0,0,4,6,0,0,0,0
0,0,4,7,0,0,0,0
0,0,4,8,1,1,0,0
0,0,4,9,0,0,0,0
0,0,4,10,0,0,0,0
0,0,4,11,0,0,0,0
0,0,4,12,2,2,0,0
0,0,4,13,3,1,0,0
0,0,4,14,0,0,0,0
0,0,4,15,0,0,0,0
0,0,4,16,0,0,0,0
0,0,4,17,0,0,0,0
0,0,4,18,124,122,0,0
0,0,4,19,276,272,0,0
0,0,4,20,0,0,0,0
3,1,4,0,0,0,0,0
3,1,4,1,0,0,0,0
3,1,4,2,0,0,0,0
3,1,4,3,0,0,0,0
3,1,4,4,0,0,0,0
3,1,4,5,0,0,0,0
3,1,4,6,0,0,0,0
3,1,4,7,0,0,0,0
3,1,4,8,1,0,0,0
3,1,4,9,0,0,0,0
3,1,4,10,0,0,0,0
3,1,4,11,0,0,0,0
3,1,4,12,3,2,0,0
3,1,4,13,3,0,0,0
3,1,4,14,0,0,0,0
3,1,4,15,0,0,0,0
3,1,4,16,0,0,0,0
3,1,4,17,0,0,0,0
3,1,4,18,15,14,0,0
3,1,4,19,44,44,0,0
3,1,4,20,0,0,0,0
3,0,4,0,6,6,0,0
3,0,4,1,0,0,0,0
3,0,4,2,11,9,0,0
3,0,4,3,0,0,0,0
3,0,4,4,0,0,0,0
3,0,4,5,0,0,0,0
3,0,4,6,0,0,0,0
3,0,4,7,1,1,0,1
3,0,4,8,1,0,0,0
3,0,4,9,0,0,0,0
3,0,4,10,0,0,0,0
3,0,4,11,0,0,0,0
3,0,4,12,1,1,0,0
3,0,4,13,2,0,0,0
3,0,4,14,7,7,0,0
3,0,4,15,0,0,0,0
3,0,4,16,0,0,0,0
3,0,4,17,0,0,0,0
3,0,4,18,37,34,0,0
3,0,4,19,11,11,0,0
3,0,4,20,0,0,0,0
2,1,4,0,0,0,1,4
2,1,4,1,0,0,0,0
2,1,4,2,0,0,0,0
2,1,4,3,0,0,0,2
2,1,4,4,0,0,0,0
2,1,4,5,0,0,0,0
2,1,4,6,0,0,0,0
2,1,4,7,0,0,0,2
2,1,4,8,0,0,0,0
2,1,4,9,0,0,0,0
2,1,4,10,0,0,0,0
2,1,4,11,0,0,0,1
2,1,4,12,1,0,0,1
2,1,4,13,1,0,0,1
2,1,4,14,0,0,0,0
2,1,4,15,0,0,0,0
2,1,4,16,0,0,0,0
2,1,4,17,0,0,0,0
2,1,4,18,2,0,0,0
2,1,4,19,0,0,0,0
2,1,4,20,0,0,0,0
4,1,4,0,0,0,0,8
4,1,4,1,0,0,0,0
4,1,4,2,1,0,0,2
4,1,4,3,0,0,0,3
4,1,4,4,0,0,0,0
4,1,4,5,0,0,0,0
4,1,4,6,1,0,0,11
4,1,4,7,0,0,0,0
4,1,4,8,4,0,0,0
4,1,4,9,0,0,0,0
4,1,4,10,0,0,0,0
4,1,4,11,0,0,0,0
4,1,4,12,2,0,0,0
4,1,4,13,1,0,0,0
4,1,4,14,1,0,0,0
4,1,4,15,0,0,0,0
4,1,4,16,0,0,0,0
4,1,4,17,0,0,0,0
4,1,4,18,9,0,0,0
4,1,4,19,1,0,0,0
4,1,4,20,0,0,0,0
4,0,4,0,0,0,0,0
4,0,4,1,0,0,0,0
4,0,4,2,0,0,0,0
4,0,4,3,0,0,0,0
4,0,4,4,0,0,0,0
4,0,4,5,0,0,0,0
4,0,4,6,0,0,0,0
4,0,4,7,0,0,0,0
4,0,4,8,0,0,0,0
4,0,4,9,0,0,0,0
4,0,4,10,0,0,0,0
4,0,4,11,0,0,0,0
4,0,4,12,0,0,0,0
4,0,4,13,0,0,0,0
4,0,4,14,0,0,0,0
4,0,4,15,0,0,0,0
4,0,4,16,0,0,0,0
4,0,4,17,0,0,0,0
4,0,4,18,0,0,0,0
4,0,4,19,0,0,0,0
4,0,4,20,0,0,0,0
4,1,2,0,0,0,0,0
4,1,2,1,0,0,0,0
4,1,2,2,1,0,0,0
4,1,2,3,0,0,0,0
4,1,2,4,0,0,0,0
4,1,2,5,0,0,0,0
4,1,2,6,0,0,0,0
4,1,2,7,0,0,0,0
4,1,2,8,1,0,0,0
4,1,2,9,0,0,0,0
4,1,2,10,0,0,0,0
4,1,2,11,0,0,0,0
4,1,2,12,0,0,0,0
4,1,2,13,3,0,0,0
4,1,2,14,3,0,0,0
4,1,2,15,0,0,0,0
4,1,2,16,0,0,0,0
4,1,2,17,0,0,0,0
4,1,2,18,7,0,0,0
4,1,2,19,5,0,0,0
4,1,2,20,0,0,0,0